Date/time;018 (Library)-Mains.Active energy (105936.0 kWh),timestamp_no_value,timestamp_values,timestamp_only,TESAG_val,Date,timestamp_values,,timestamp
12/14/07 3:00:00 AM;224.2,12/14/07 3:00:00 A,1/1/17 3:30:00 PM;,3:30:00 PM;,7.9,2017-01-01,15:30:00,,2017-01-01T15:30:00+10:00
12/14/07 4:00:00 AM;224.2,12/14/07 4:00:00 A,1/1/17 3:45:00 PM;,3:45:00 PM;,8.3,2017-01-01,15:45:00,,2017-01-01T15:45:00+10:00
12/14/07 5:00:00 AM;212.8,12/14/07 5:00:00 A,1/1/17 4:00:00 PM;,4:00:00 PM;,8.7,2017-01-01,16:00:00,,2017-01-01T16:00:00+10:00
12/14/07 6:00:00 AM;407.2,12/14/07 6:00:00 A,1/1/17 4:15:00 PM;,4:15:00 PM;,9,2017-01-01,16:15:00,,2017-01-01T16:15:00+10:00
12/14/07 7:00:00 AM;445.2,12/14/07 7:00:00 A,1/1/17 4:30:00 PM;,4:30:00 PM;,8.6,2017-01-01,16:30:00,,2017-01-01T16:30:00+10:00
12/14/07 8:00:00 AM;456.2,12/14/07 8:00:00 A,1/1/17 4:45:00 PM;,4:45:00 PM;,8.3,2017-01-01,16:45:00,,2017-01-01T16:45:00+10:00
12/14/07 9:00:00 AM;463.7,12/14/07 9:00:00 A,1/1/17 5:00:00 PM;,5:00:00 PM;,9.1,2017-01-01,17:00:00,,2017-01-01T17:00:00+10:00
12/14/07 10:00:00 AM;447.5,12/14/07 10:00:00 ,1/1/17 5:15:00 PM;,5:15:00 PM;,8.6,2017-01-01,17:15:00,,2017-01-01T17:15:00+10:00
12/14/07 11:00:00 AM;424.4,12/14/07 11:00:00 ,1/1/17 5:30:00 PM;,5:30:00 PM;,8,2017-01-01,17:30:00,,2017-01-01T17:30:00+10:00
12/14/07 12:00:00 PM;416.5,12/14/07 12:00:00 ,1/1/17 5:45:00 PM;,5:45:00 PM;,8.4,2017-01-01,17:45:00,,2017-01-01T17:45:00+10:00
12/14/07 1:00:00 PM;420.0,12/14/07 1:00:00 P,1/1/17 6:00:00 PM;,6:00:00 PM;,8.8,2017-01-01,18:00:00,,2017-01-01T18:00:00+10:00
12/14/07 2:00:00 PM;417.9,12/14/07 2:00:00 P,1/1/17 6:15:00 PM;,6:15:00 PM;,8.7,2017-01-01,18:15:00,,2017-01-01T18:15:00+10:00
12/14/07 3:00:00 PM;466.3,12/14/07 3:00:00 P,1/1/17 6:30:00 PM;,6:30:00 PM;,8.3,2017-01-01,18:30:00,,2017-01-01T18:30:00+10:00
12/14/07 4:00:00 PM;458.7,12/14/07 4:00:00 P,1/1/17 6:45:00 PM;,6:45:00 PM;,8.9,2017-01-01,18:45:00,,2017-01-01T18:45:00+10:00
12/14/07 5:00:00 PM;448.5,12/14/07 5:00:00 P,1/1/17 7:00:00 PM;,7:00:00 PM;,8.6,2017-01-01,19:00:00,,2017-01-01T19:00:00+10:00
12/14/07 6:00:00 PM;204.2,12/14/07 6:00:00 P,1/1/17 7:15:00 PM;,7:15:00 PM;,9,2017-01-01,19:15:00,,2017-01-01T19:15:00+10:00
12/14/07 7:00:00 PM;191.5,12/14/07 7:00:00 P,1/1/17 7:30:00 PM;,7:30:00 PM;,8.4,2017-01-01,19:30:00,,2017-01-01T19:30:00+10:00
12/14/07 8:00:00 PM;51.6,12/14/07 8:00:00 P,1/1/17 7:45:00 PM;,7:45:00 PM;,8.5,2017-01-01,19:45:00,,2017-01-01T19:45:00+10:00
12/14/07 9:00:00 PM;46.0,12/14/07 9:00:00 P,1/1/17 8:00:00 PM;,8:00:00 PM;,8.8,2017-01-01,20:00:00,,2017-01-01T20:00:00+10:00
12/14/07 10:00:00 PM;45.8,12/14/07 10:00:00 ,1/1/17 8:15:00 PM;,8:15:00 PM;,8.7,2017-01-01,20:15:00,,2017-01-01T20:15:00+10:00
12/14/07 11:00:00 PM;141.4,12/14/07 11:00:00 ,1/1/17 8:30:00 PM;,8:30:00 PM;,8.5,2017-01-01,20:30:00,,2017-01-01T20:30:00+10:00
12/15/07 12:00:00 AM;135.8,12/15/07 12:00:00 ,1/1/17 8:45:00 PM;,8:45:00 PM;,9.1,2017-01-01,20:45:00,,2017-01-01T20:45:00+10:00
12/15/07 1:00:00 AM;139.8,12/15/07 1:00:00 A,1/1/17 9:00:00 PM;,9:00:00 PM;,8.8,2017-01-01,21:00:00,,2017-01-01T21:00:00+10:00
12/15/07 2:00:00 AM;137.3,12/15/07 2:00:00 A,1/1/17 9:15:00 PM;,9:15:00 PM;,8.6,2017-01-01,21:15:00,,2017-01-01T21:15:00+10:00
12/15/07 3:00:00 AM;134.1,12/15/07 3:00:00 A,1/1/17 9:30:00 PM;,9:30:00 PM;,8.4,2017-01-01,21:30:00,,2017-01-01T21:30:00+10:00
